Timestamp,Spol,Koliko imas godina?,Zavrsio si?,sto mislis koliko ima gradova u Hrvatskoj?,mislis li da je udaljenost od Zagreba do Pariza veća od 3000 km?,sto mislis kolika je ta udaljenost?,,,
6/2/2015 19:49:37,musko,59,Fakultet,200,Ne,2800,,,
6/2/2015 19:49:11,musko,59,Srednju skolu,128,Ne,1500,,,
6/3/2015 10:08:04,zensko,59,Fakultet,100,Ne,900,,,
6/2/2015 19:41:53,zensko,61,Fakultet,118,Ne,2000,,,
6/1/2015 22:54:23,zensko,61,Srednju skolu,100,Ne,1100,,,
6/2/2015 19:42:36,zensko,62,Srednju skolu,85,Ne,1800,,,
6/2/2015 19:43:32,musko,62,Srednju skolu,25,Ne,2000,,,
6/3/2015 17:35:19,musko,62,Fakultet,128,Ne,1500,,,
6/4/2015 19:15:23,zensko,62,Fakultet,400,Ne,1600,,,
6/3/2015 10:44:37,musko,63,Fakultet,100,Ne,1500,,,
6/3/2015 12:27:26,zensko,64,Fakultet,50,Ne,2500,,,
6/1/2015 22:58:43,musko,64,Fakultet,58,Ne,1250,,,
6/2/2015 19:45:49,zensko,64,Srednju skolu,195,Ne,2000,,,
5/24/2015 12:23:33,zensko,64,Srednju skolu,12,Da,5000,,,
6/3/2015 15:51:28,zensko,64,Srednju skolu,300,Ne,1000,,,
6/2/2015 19:40:00,zensko,65,Srednju skolu,28,Ne,2500,,,
6/4/2015 19:11:33,zensko,65,Fakultet,300,Ne,1000,,,
6/2/2015 19:35:57,zensko,65,Fakultet,30,Ne,1500,,,
6/2/2015 19:26:48,zensko,65,Fakultet,90,Ne,2800,,,
6/2/2015 19:37:21,musko,65,Fakultet,50,Ne,1500,,,
6/4/2015 9:16:51,musko,65,Srednju skolu,150,Ne,2500,,,
6/2/2015 19:46:11,musko,66,Fakultet,125,Ne,2890,,,
6/2/2015 19:47:26,zensko,66,Srednju skolu,150,Ne,1800,,,
6/3/2015 12:52:58,zensko,67,Fakultet,111,Ne,3000,,,
6/1/2015 23:00:34,zensko,67,Srednju skolu,40,Ne,2000,,,
6/2/2015 19:42:13,zensko,67,Srednju skolu,70,Ne,2000,,,
6/1/2015 22:56:14,zensko,67,Fakultet,45,Ne,1000,,,
6/4/2015 19:13:09,musko,68,Srednju skolu,250,Ne,1500,,,
6/2/2015 19:27:14,musko,68,Srednju skolu,70,Ne,2000,,,
6/3/2015 13:27:11,zensko,70,Srednju skolu,300,Ne,2300,,,
6/4/2015 17:05:03,zensko,71,Fakultet,110,Ne,1700,,,
6/4/2015 19:13:30,zensko,71,Srednju skolu,260,Da,1200,,,
6/1/2015 23:03:02,zensko,72,Fakultet,50,Ne,1000,,,
6/2/2015 19:41:31,zensko,73,Srednju skolu,100,Ne,1500,,,
6/4/2015 17:05:53,musko,73,Fakultet,115,Ne,2100,,,
6/3/2015 10:23:21,musko,74,Fakultet,50,Ne,1700,,,
6/2/2015 19:50:50,zensko,74,Srednju skolu,30,Ne,2000,,,
6/4/2015 19:01:13,musko,75,Fakultet,180,Ne,1800,,,
6/2/2015 19:44:41,musko,77,Srednju skolu,60,Ne,2250,,,
6/2/2015 19:51:16,musko,78,Srednju skolu,90,Ne,1800,,,
6/4/2015 19:08:47,musko,79,Srednju skolu,28,Ne,1500,,,
6/1/2015 23:02:22,zensko,80,Srednju skolu,50,Ne,1500,,,
6/3/2015 11:44:50,zensko,81,Srednju skolu,120,Ne,2000,,,
6/2/2015 19:36:33,zensko,83,Fakultet,50,Ne,1800,,,
6/4/2015 19:39:41,musko,25,Srednju skolu,50,Ne,1400,,,
