"Spol","Koliko.imas.godina.","Zavrsio.si.","sto.mislis.koliko.ima.gradova.u.Hrvatskoj.","mislis.li.da.je.udaljenost.od.Zagreba.do.Pariza.veÄ.a.od.3000.km.","sto.mislis.kolika.je.ta.udaljenost."
"251","zensko",66,"Srednju skolu",150,"Ne",1800
"252","zensko",67,"Fakultet",111,"Ne",3000
"253","zensko",67,"Srednju skolu",40,"Ne",2000
"254","zensko",67,"Srednju skolu",70,"Ne",2000
"255","zensko",67,"Fakultet",45,"Ne",1000
"256","musko",68,"Srednju skolu",250,"Ne",1500
"257","musko",68,"Srednju skolu",70,"Ne",2000
"258","zensko",70,"Srednju skolu",300,"Ne",2300
"259","zensko",71,"Fakultet",110,"Ne",1700
"260","zensko",71,"Srednju skolu",260,"Da",1200
"261","zensko",72,"Fakultet",50,"Ne",1000
"262","zensko",73,"Srednju skolu",100,"Ne",1500
"263","musko",73,"Fakultet",115,"Ne",2100
"264","musko",74,"Fakultet",50,"Ne",1700
"265","zensko",74,"Srednju skolu",30,"Ne",2000
"266","musko",75,"Fakultet",180,"Ne",1800
"267","musko",77,"Srednju skolu",60,"Ne",2250
"268","musko",78,"Srednju skolu",90,"Ne",1800
"269","musko",79,"Srednju skolu",28,"Ne",1500
"270","zensko",80,"Srednju skolu",50,"Ne",1500
"271","zensko",81,"Srednju skolu",120,"Ne",2000
"272","zensko",83,"Fakultet",50,"Ne",1800
"273","musko",25,"Srednju skolu",50,"Ne",1400
