"Spol","Koliko.imas.godina.","Zavrsio.si.","sto.mislis.kolika.je.udaljenost.od.Zagreba.do.Pariza.","mislis.li.da.u.Hrvatskoj.ima.vise.od.400.gradova.","sto.mislis.koliko.ih.ima."
"189","musko",53,"Srednju skolu",1700,"Ne",150
"190","musko",54,"Osnovnu skolu",2000,"Da",450
"191","zensko",54,"Fakultet",1600,"Ne",300
"192","musko",55,"Srednju skolu",1200,"Ne",250
"193","zensko",55,"Srednju skolu",1300,"Ne",120
"194","zensko",56,"Osnovnu skolu",1000,"Ne",200
"195","zensko",56,"Srednju skolu",1500,"Ne",50
"196","zensko",57,"Fakultet",1200,"Da",500
"197","zensko",57,"Srednju skolu",1000,"Ne",300
"198","musko",58,"Srednju skolu",700,"Ne",300
"199","zensko",58,"Srednju skolu",1200,"Ne",150
"200","musko",59,"Fakultet",2200,"Ne",150
"201","musko",60,"Srednju skolu",2600,"Da",600
"202","musko",60,"Osnovnu skolu",2000,"Ne",320
"203","musko",60,"Fakultet",2500,"Ne",250
"204","zensko",60,"Srednju skolu",500,"Ne",200
"205","musko",60,"Srednju skolu",1500,"Ne",100
"206","musko",60,"Fakultet",1000,"Ne",60
"207","musko",60,"Fakultet",1200,"Ne",60
"208","musko",61,"Fakultet",1400,"Ne",350
"209","musko",61,"Srednju skolu",1500,"Ne",300
"210","zensko",61,"Srednju skolu",5000,"Ne",250
"211","musko",61,"Srednju skolu",1200,"Ne",60
"212","zensko",63,"Fakultet",1000,"Ne",100
"213","musko",63,"Srednju skolu",800,"Ne",130
"214","zensko",64,"Srednju skolu",90,"Ne",250
"215","zensko",64,"Srednju skolu",1000,"Ne",200
"216","musko",64,"Osnovnu skolu",1500,"Ne",50
"217","zensko",65,"Srednju skolu",5000,"Ne",350
"218","zensko",65,"Srednju skolu",1000,"Ne",300
"219","musko",65,"Srednju skolu",1200,"Ne",200
"220","musko",65,"Srednju skolu",2000,"Ne",80
"221","zensko",65,"Srednju skolu",1200,"Ne",150
"222","zensko",66,"Osnovnu skolu",2000,"Da",600
"223","zensko",66,"Fakultet",500,"Ne",250
"224","musko",67,"Fakultet",800,"Da",500
"225","musko",67,"Srednju skolu",500,"Da",420
"226","musko",67,"Srednju skolu",600,"Ne",350
"227","musko",68,"Srednju skolu",450,"Da",401
"228","musko",68,"Fakultet",2200,"Ne",320
"229","zensko",69,"Srednju skolu",100,"Ne",200
"230","zensko",71,"Srednju skolu",2000,"Ne",300
"231","musko",71,"Fakultet",1600,"Ne",300
"232","musko",71,"Fakultet",1000,"Ne",180
"233","zensko",71,"Srednju skolu",1200,"Ne",260
"234","musko",73,"Fakultet",1200,"Da",480
"235","musko",74,"Srednju skolu",2700,"Ne",60
"236","musko",75,"Fakultet",700,"Da",450
"237","zensko",77,"Srednju skolu",1000,"Da",420
"238","zensko",81,"Srednju skolu",2000,"Da",418
"239","zensko",84,"Osnovnu skolu",1100,"Ne",380
"240","musko",91,"Fakultet",2500,"Ne",350
